Datum: 09.04.2015 07:08
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.88   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.67   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.71   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.20   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.68   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.70   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.74   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.74   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.04   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.61   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.89   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.72   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.58   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.30   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.04   18.00    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.83   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
