Datum: 27.07.2015 14:57
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.03   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.81   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.27   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.31   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.44   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.70   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.10   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.99   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.53   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.53   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.87   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.81   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.55   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.19   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.01   18.00    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.95   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00   -0.26   -0.29    0.00    0.00    0.00    0.00    1.50    0.00    0.56    0.49
000.000      0.43    0.00   -0.53   -0.63    0.00    0.00    0.00    0.00    1.50    0.00    1.18    1.01
000.00025    0.82   33.30   -0.83   -1.00    0.00    0.04    5.71    0.00    1.50    0.00    1.87    1.55
000.00050    1.19   33.30   -1.17   -1.41    0.00    0.04    5.83    0.00    1.50    0.00    2.63    2.12
000.00075    1.54   33.30   -1.51   -1.84    0.00    0.04    5.74    0.00    1.50    0.00    3.44    2.71
000.001      1.95   33.30   -1.58   -2.00    0.00    0.04    5.69    0.00    1.50    0.00    3.70    2.82
000.00125    1.92   33.30   -1.61   -2.12    0.00    0.04    5.65    0.00    1.50    0.00    3.86    2.90
000.00150    2.05   33.30   -1.61   -2.19    0.00    0.04    5.56    0.00    1.50    0.00    3.89    2.94
000.00175    2.22   33.30   -1.59   -2.19    0.00    0.04    5.62    0.00    1.50    0.00    3.77    2.93
000.002      2.29   33.30   -1.59   -2.10    0.00    0.04    5.30    0.00    1.50    0.00    3.54    2.87
000.00225    2.24   33.30   -1.63   -1.91    0.00    0.04    5.19    0.00    1.50    0.00    3.28    2.80
000.00250    2.16   33.30   -1.69   -1.67    0.00    0.04    4.91    0.00    1.50    0.00    3.08    2.75
000.00275    1.93   33.30   -1.72   -1.40    0.00    0.03    4.91    0.00    1.50    0.00    2.98    2.74
000.003      1.71   33.30   -1.71   -1.13    0.00    0.03    4.92    0.00    1.50    0.00    2.98    2.78
000.00325    1.64   33.30   -1.65   -0.86    0.00    0.03    4.57   10.83    3.00    0.00    3.05    2.83
000.00350    1.58   33.30   -1.58   -0.61    0.00    0.03    4.54   10.08    3.00    0.00    3.13    2.88
