Datum: 03.12.2015 06:02
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.50   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.26   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.84   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.73   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.31   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.57   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.87   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.70   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.23   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.10   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.61   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.61   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.08   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.79   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.69   18.00    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.57   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00   -0.27   -0.29    0.00    0.00    0.00    0.00    1.50    0.00    0.60    0.53
000.000      0.55    0.00   -0.64   -0.62    0.00    0.00    0.00    0.00    1.50    0.00    1.25    1.10
000.00025    1.07   33.20   -1.08   -0.97    0.00    0.05    7.08    0.00    1.50    0.00    1.97    1.68
000.00050    1.58   33.20   -1.57   -1.34    0.00    0.05    7.23    0.00    1.50    0.00    2.74    2.29
000.00075    2.05   33.20   -2.03   -1.75    0.00    0.04    7.11    0.00    1.50    0.00    3.55    2.92
000.001      2.54   33.20   -2.17   -1.88    0.00    0.04    7.07    0.00    1.50    0.00    3.76    3.02
000.00125    2.47   33.20   -2.17   -1.97    0.00    0.04    7.00    0.00    1.50    0.00    3.86    3.09
000.00150    2.51   33.20   -2.10   -2.03    0.00    0.04    6.95    0.00    1.50    0.00    3.86    3.12
000.00175    2.57   33.20   -2.02   -2.01    0.00    0.04    7.02    0.00    1.50    0.00    3.75    3.10
000.002      2.54   33.20   -1.97   -1.91    0.00    0.04    6.64    0.00    1.50    0.00    3.57    3.03
000.00225    2.44   33.20   -1.94   -1.74    0.00    0.04    6.51    0.00    1.50    0.00    3.38    2.95
000.00250    2.31   33.20   -1.87   -1.52    0.00    0.04    6.27    0.00    1.50    0.00    3.23    2.88
000.00275    2.12   33.20   -1.71   -1.28    0.00    0.04    6.19    0.00    1.50    0.00    3.15    2.84
000.003      2.00   33.20   -1.48   -1.05    0.00    0.04    5.92    0.00    1.50    0.00    3.12    2.85
000.00325    1.99   33.20   -1.24   -0.82    0.00    0.03    5.75   11.75    3.00    0.00    3.12    2.88
000.00350    2.01   33.20   -1.11   -0.61    0.00    0.03    5.75   10.58    3.00    0.00    3.13    2.92
000.00375    2.00   33.20   -1.14   -0.41    0.00    0.03    5.60   10.67    3.00    0.00    3.11    2.93
000.004      1.85   33.40   -1.28   -0.21    0.00    0.03    5.64   10.17    3.00    0.00    3.06    2.88
000.00425    1.56   33.40   -1.42   -0.03    0.00    0.03    5.56   15.06    4.50    0.00    2.98    2.76
000.00450    1.30   33.40   -1.43    0.14    0.00    0.03    5.62   19.00    3.00    0.00    2.86    2.58
000.00475    1.20   33.40   -1.18    0.33    0.00    0.03    5.50   20.17    3.00    0.00    2.67    2.32
000.005      1.27   33.40   -0.67    0.57    0.00    0.03    5.43   21.67    3.00    0.00    2.39    1.98
000.00525    1.44   33.40   -0.01    0.86    0.00    0.03    5.43   23.71    7.50    0.00    1.99    1.57
000.00550    1.69   33.40    0.67    1.18    0.00    0.03    5.23   24.29    7.50    0.00    1.50    1.11
000.00575    1.99   33.40    1.25    1.47    0.00    0.03    5.15   25.00    3.00    0.00    0.93    0.64
000.006      2.15   33.40    1.69    1.67    0.00    0.03    4.85   25.36    6.00    0.00    0.32    0.19
000.00625    2.26   33.40    1.99    1.75    0.00    0.02    4.30   25.50    3.00    0.00   -0.28   -0.21
000.00650    2.41   33.40    2.24    1.72    0.00    0.02    4.02   25.00    3.00    0.00   -0.85   -0.55
000.00675    2.58   33.40    2.43    1.63    0.00    0.02    3.55   25.00    3.00    0.00   -1.38   -0.78
000.007      2.77   33.40    2.58    1.53    0.00    0.02    3.10   24.33    3.00    0.00   -1.85   -0.93
000.00725    2.94   33.40    2.65    1.45    0.00    0.02    2.74   23.17    3.00    0.00   -2.22   -0.99
000.00750    3.05   33.40    2.63    1.42    0.00    0.02    2.45   21.58    3.00    0.00   -2.48   -0.99
000.00775    3.03   33.40    2.54    1.41    0.00    0.02    2.42   19.67    1.50    0.00   -2.61   -0.94
000.008      2.97   33.40    2.42    1.41    0.00    0.02    2.38   16.92    3.00    0.00   -2.62   -0.86
000.00825    2.90   33.40    2.29    1.40    0.00    0.02    2.28   14.00    3.00    0.00   -2.55   -0.75
000.00850    2.87   33.40    2.20    1.38    0.00    0.02    2.10   12.30   10.50    0.00   -2.45   -0.63
000.00875    2.83   33.40    2.11    1.32    0.00    0.02    1.98   11.39   10.50    0.00   -2.33   -0.51
000.009      2.79   33.40    1.99    1.21    0.00    0.02    1.91   12.18   12.00    0.00   -2.20   -0.39
000.00925    2.75   33.40    1.83    1.04    0.00    0.02    1.88   11.80   15.00    0.00   -2.06   -0.27
000.00950    2.69   33.40    1.64    0.81    0.00    0.02    1.77   11.31   12.00    0.00   -1.90   -0.18
000.00975    2.61   33.40    1.43    0.53    0.00    0.02    1.72   12.30   13.50    0.00   -1.73   -0.12
000.010      2.62   33.40    1.20    0.22    0.00    0.02    1.75   11.85   13.50    0.00   -1.54   -0.09
000.01025    2.70   33.40    0.96   -0.07    0.00    0.02    1.92   11.44   13.50    0.00   -1.35   -0.10
000.01050    2.73   33.40    0.71   -0.31    0.00    0.02    2.14   12.10   15.00    0.00   -1.19   -0.16
000.01075    2.57   33.40    0.45   -0.46    0.00    0.01    2.41   11.83   15.00    0.00   -1.05   -0.24
000.011      2.31   33.40    0.17   -0.53    0.00    0.01    2.57   11.63   15.00    0.00   -0.94   -0.34
000.01125    1.95   33.40   -0.12   -0.52    0.00    0.01    2.78   12.45   16.50    0.00   -0.85   -0.43
000.01150    1.54   33.40   -0.42   -0.47    0.00    0.01    2.92   12.15   16.50    0.00   -0.76   -0.52
000.01175    1.11   33.40   -0.70   -0.41    0.00    0.01    2.91   12.00    3.00    0.00   -0.65   -0.58
000.012      0.82   33.40   -0.96   -0.34    0.00    0.01    2.99   11.81   18.00    0.00   -0.53   -0.62
000.01225    0.59   33.40   -1.16   -0.27   -0.02    0.01    3.09   11.42    3.00   -0.31   -0.40   -0.64
000.01250    0.40   33.40   -1.31   -0.21    0.00    0.01    3.15   10.83    3.00   -0.33   -0.30   -0.66
000.01275    0.25   33.40   -1.39   -0.15    0.01    0.01    3.19   10.14   18.00   -0.36   -0.21   -0.67
000.013      0.11   33.40   -1.40   -0.10    0.03    0.01    3.38    9.47   18.00   -0.39   -0.12   -0.68
000.01325    0.00   33.40   -1.32   -0.06    0.05    0.01    3.55    8.92   19.50   -0.42   -0.02   -0.69
000.01350   -0.02   33.40   -1.20   -0.06    0.07    0.01    3.69    8.33   19.50   -0.45    0.11   -0.71
000.01375    0.00   33.40   -1.02   -0.11    0.08    0.01    3.88    7.77   19.50   -0.48    0.25   -0.73
000.014      0.08   33.40   -0.85   -0.19    0.09    0.01    3.97    7.21   19.50   -0.51    0.39   -0.74
000.01425    0.28   33.40   -0.71   -0.31    0.11    0.01    3.96    6.62   19.50   -0.54    0.49   -0.73
000.01450    0.52   33.40   -0.64   -0.43    0.12    0.01    3.98    5.97   19.50   -0.57    0.55   -0.70
