_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.58   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.61   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.84   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.92   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.55   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.51   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.48   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.68   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.99   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.07   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.66   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.31   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.37   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.97   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.58   18.00    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.32   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00   -0.37   -0.21    0.00    0.00    0.00    0.00    1.50    0.00    0.39    0.27
000.000      0.40    0.00   -0.66   -0.48    0.00    0.00    0.00    0.00    1.50    0.00    0.88    0.66
000.00025    0.90   33.30   -0.92   -0.78    0.00    0.06    6.21    0.00    1.50    0.00    1.46    1.15
000.00050    1.42   33.30   -1.20   -1.13    0.00    0.06    6.06    0.00    1.50    0.00    2.12    1.73
000.00075    1.95   33.30   -1.53   -1.50    0.00    0.06    6.19    0.00    1.50    0.00    2.85    2.36
000.001      2.44   33.30   -1.50   -1.68    0.00    0.06    6.14    0.00    1.50    0.00    3.26    2.77
000.00125    2.51   33.30   -1.53   -1.82    0.00    0.06    6.13    0.00    1.50    0.00    3.62    3.09
000.00150    2.48   33.30   -1.57   -1.94    0.00    0.06    6.12    0.00    1.50    0.00    3.94    3.35
000.00175    2.49   33.30   -1.58   -2.04    0.00    0.06    6.05    0.00    1.50    0.00    4.20    3.56
000.002      2.52   33.30   -1.60   -2.11    0.00    0.06    5.98    0.00    1.50    0.00    4.36    3.72
000.00225    2.63   33.30   -1.65   -2.13    0.00    0.06    6.03    0.00    1.50    0.00    4.40    3.80
000.00250    2.62   33.30   -1.78   -2.07    0.00    0.06    5.64    0.00    1.50    0.00    4.32    3.81
000.00275    2.51   33.30   -1.92   -1.93    0.00    0.05    5.69    0.00    1.50    0.00    4.14    3.72
000.003      2.32   33.30   -2.02   -1.71    0.00    0.05    5.35    0.00    1.50    0.00    3.90    3.55
000.00325    2.05   33.30   -2.01   -1.45    0.00    0.05    5.31   10.50    3.00    0.00    3.66    3.34
000.00350    1.78   33.30   -1.89   -1.19    0.00    0.05    5.31   11.50    3.00    0.00    3.47    3.17
000.00375    1.70   33.30   -1.70   -0.96    0.00    0.05    5.05   12.50    3.00    0.00    3.36    3.07
000.004      1.70   33.30   -1.51   -0.74    0.00    0.05    4.77    9.75    3.00    0.00    3.30    3.03
000.00425    1.71   33.30   -1.40   -0.53    0.00    0.05    4.76   12.00    4.50    0.00    3.27    3.02
000.00450    1.71   33.30   -1.37   -0.33    0.00    0.05    4.76   14.50    3.00    0.00    3.23    3.01
000.00475    1.55   33.30   -1.34   -0.13    0.00    0.05    4.66   14.67    3.00    0.00    3.16    2.94
000.005      1.32   33.30   -1.20    0.08    0.00    0.05    4.57   15.42    3.00    0.00    3.02    2.80
000.00525    1.20   33.30   -0.88    0.31    0.00    0.05    4.63   23.14    7.50    0.00    2.83    2.57
000.00550    1.23   33.30   -0.37    0.57    0.00    0.05    4.48   23.52    7.50    0.00    2.57    2.26
000.00575    1.39   33.30    0.28    0.86    0.00    0.05    4.41   23.62    7.50    0.00    2.24    1.89
000.006      1.69   33.30    0.92    1.17    0.00    0.05    4.37   24.53    6.00    0.00    1.82    1.46
000.00625    2.03   33.30    1.43    1.44    0.00    0.05    4.19   24.53    6.00    0.00    1.30    1.00
000.00650    2.26   33.30    1.77    1.66    0.00    0.05    4.21   24.22    6.00    0.00    0.72    0.53
000.00675    2.37   33.30    1.97    1.78    0.00    0.05    3.89   24.10    7.50    0.00    0.08    0.05
000.007      2.43   33.30    2.09    1.82    0.00    0.05    3.39   24.00    3.00    0.00   -0.58   -0.40
000.00725    2.48   33.30    2.19    1.78    0.00    0.05    2.99   24.75    3.00    0.00   -1.20   -0.79
000.00750    2.58   33.30    2.29    1.73    0.00    0.05    2.53   24.75    3.00    0.00   -1.77   -1.10
000.00775    2.74   33.30    2.38    1.69    0.00    0.05    2.08   24.58    3.00    0.00   -2.22   -1.30
000.008      2.86   33.30    2.42    1.67    0.00    0.05    1.89   23.33    3.00    0.00   -2.54   -1.38
000.00825    2.88   33.30    2.43    1.68    0.00    0.05    1.60   21.83    3.00    0.00   -2.72   -1.35
000.00850    2.82   33.30    2.44    1.72    0.00    0.05    1.56   21.17    1.50    0.00   -2.78   -1.24
000.00875    2.78   33.30    2.44    1.74    0.00    0.05    1.51   17.83    1.50    0.00   -2.73   -1.07
000.009      2.70   33.30    2.44    1.73    0.00    0.05    1.27   14.75    3.00    0.00   -2.62   -0.87
000.00925    2.67   33.30    2.39    1.66    0.00    0.05    0.99   11.94   12.00    0.00   -2.47   -0.65
000.00950    2.70   33.30    2.27    1.53    0.00    0.05    0.91   11.51   12.00    0.00   -2.30   -0.44
000.00975    2.71   33.30    2.05    1.33    0.00    0.05    0.82   12.37   13.50    0.00   -2.13   -0.24
000.010      2.71   33.30    1.78    1.06    0.00    0.05    0.83   11.93   13.50    0.00   -1.95   -0.07
000.01025    2.71   33.30    1.46    0.74    0.00    0.05    0.56   11.48   13.50    0.00   -1.77    0.06
000.01050    2.67   33.30    1.15    0.41    0.00    0.05    0.76   11.80   15.00    0.00   -1.60    0.15
000.01075    2.62   33.30    0.84    0.09    0.00    0.05    0.82   11.50   15.00    0.00   -1.44    0.16
000.011      2.61   33.30    0.54   -0.18    0.00    0.05    0.90   11.17   15.00    0.00   -1.28    0.11
000.01125    2.47   33.30    0.24   -0.36    0.00    0.05    1.23   11.88   16.50    0.00   -1.12    0.00
000.01150    2.21   33.30   -0.05   -0.45    0.00    0.05    1.42   11.61   16.50    0.00   -0.99   -0.15
