_KM.M____    slD1    spD1  AlgPrL  AlgPrR
020.42225    0.00    0.00    1.74    1.96
020.42250    0.00    0.00    1.74    1.96
020.42275    0.00    0.00    1.74    1.96
020.423      0.00    0.00    1.96    1.93
020.42325    0.00    0.00    1.65    1.91
020.42350    0.00    0.00    1.97    1.87
020.42375    0.00    0.00    2.05    1.84
020.424      0.00    0.00    1.97    1.69
020.42425    0.00    0.00    1.84    1.59
020.42450    0.00    0.00    1.98    1.46
020.42475    0.00    0.00    2.19    1.36
020.425      0.00    0.00    2.18    1.38
020.42525    0.00    0.00    2.36    1.34
020.42550    0.00    0.00    2.53    1.32
020.42575    0.00    0.00    2.72    1.17
020.426      0.00    0.00    2.92    0.98
020.42625    0.00    0.00    3.02    0.81
020.42650    0.00    0.00    3.04    0.68
020.42675    0.00    0.00    3.33    0.55
020.427      0.00    0.00    3.55    0.32
020.42725    0.00    0.00    3.47    0.18
020.42750    0.00    0.00    3.48    0.00
020.42775    0.00    0.00    2.94    0.01
020.428      0.00    0.00    2.82   -0.07
020.42825    0.00    0.00    2.51   -0.29
020.42850    0.00    0.00    2.44   -0.87
020.42875    0.00    0.00    2.12   -1.04
020.429      0.00    0.00    1.81   -1.40
020.42925    0.00    0.00    1.44   -1.78
020.42950    0.00    0.00    1.12   -2.09
020.42975    0.00    0.00    0.74   -2.32
020.430      0.00    0.00    0.37   -2.51
020.43025    0.00    0.00   -0.06   -2.59
020.43050    0.00    0.00   -0.47   -2.67
020.43075    0.00    0.00   -1.02   -2.66
020.431      0.00    0.00   -1.35   -2.65
020.43125    0.00    0.00   -1.49   -2.57
020.43150    0.00    0.00   -1.91   -2.62
020.43175    0.00    0.00   -1.67   -2.71
020.432      0.00    0.00   -1.78   -2.87
020.43225    0.00    0.00   -1.67   -2.98
020.43250    0.00    0.00   -1.74   -2.81
020.43275    0.00    0.00   -1.72   -3.25
020.433      0.00    0.00   -1.85   -3.47
020.43325    0.00    0.00   -2.00   -3.45
020.43350    0.00    0.00   -2.09   -3.29
020.43375    0.00    0.00   -2.13   -3.21
020.434      0.00    0.00   -2.17   -3.03
020.43425    0.00    0.00   -2.15   -2.87
020.43450    0.00    0.00   -2.10   -2.71
020.43475    0.00    0.00   -2.01   -2.58
020.435      0.00    0.00   -1.85   -2.55
020.43525    0.00    0.00   -1.80   -2.51
020.43550    0.00    0.00   -2.56   -2.48
020.43575    0.00    0.00   -2.52   -2.53
020.436      0.00    0.00   -2.42   -2.59
020.43625    0.00    0.00   -2.38   -2.64
020.43650    0.00    0.00   -2.31   -2.63
020.43675    0.00    0.00   -2.30   -2.53
020.437      0.00    0.00   -2.34   -2.43
020.43725    0.00    0.00   -2.23   -2.36
020.43750    0.00    0.00   -2.19   -2.33
020.43775    0.00    0.00   -2.13   -2.26
020.438      0.00    0.00   -2.17   -2.30
020.43825    0.00    0.00   -2.32   -2.32
020.43850    0.00    0.00   -2.46   -2.40
020.43875    0.00    0.00   -2.59   -2.42
020.439      0.00    0.00   -2.59   -2.33
020.43925    0.00    0.00   -2.60   -2.25
020.43950    0.00    0.00   -2.81   -2.05
020.43975    0.00    0.00   -2.81   -1.93
020.440      0.00    0.00   -2.87   -1.61
020.44025    0.00    0.00   -2.77   -1.39
020.44050    0.00    0.00   -2.63   -1.26
020.44075    0.00    0.00   -2.46   -1.14
020.441      0.00    0.00   -2.20   -1.02
020.44125    0.00    0.00   -1.86   -0.89
020.44150    0.00    0.00   -1.63   -0.65
